Frame ID,Marker ID,Top Left,Top Right,Bottom Right,Bottom Left,Distance,Yaw,Pitch,Roll
249,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 557.0)",1.9499527493560824,146.67379518370717,57.93726645158868,-25.2720373084934
250,7,"(750.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.8932612443059917,140.40287126508056,58.90549122052667,-30.237995387580376
251,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
252,7,"(750.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(747.0, 558.0)",1.8891575281384316,140.14801353593975,58.02399259079759,-29.167750551963124
253,7,"(750.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.8407728350457842,140.69477477761578,61.507515381150704,-30.004522182518016
254,7,"(750.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.8407728350457842,140.69477477761578,61.507515381150704,-30.004522182518016
255,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
256,7,"(750.0, 540.0)","(766.0, 541.0)","(764.0, 559.0)","(748.0, 558.0)",1.893715871175457,154.3725369668867,-48.41278341450126,25.44757020319527
257,7,"(750.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.8407728350457842,140.69477477761578,61.507515381150704,-30.004522182518016
258,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
259,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
260,7,"(750.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.8407728350457842,140.69477477761578,61.507515381150704,-30.004522182518016
261,7,"(750.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8898843204336366,159.56229153237024,-49.9416215706295,21.136421159127558
262,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 557.0)",1.9499527493560824,146.67379518370717,57.93726645158868,-25.2720373084934
263,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
264,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 559.0)","(748.0, 558.0)",1.843569033099623,142.83796514147357,60.5963787444029,-28.698614501400183
265,7,"(749.0, 540.0)","(766.0, 540.0)","(764.0, 558.0)","(748.0, 558.0)",1.8935207720362992,159.17534957590738,-48.92674288315825,20.32100283465051
266,7,"(750.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.8932612443059917,140.40287126508056,58.90549122052667,-30.237995387580376
267,7,"(750.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.8932612443059917,140.40287126508056,58.90549122052667,-30.237995387580376
268,7,"(749.0, 540.0)","(766.0, 540.0)","(765.0, 558.0)","(748.0, 558.0)",1.896162290908676,158.68598966882286,-47.866491729542815,19.582084984610795
