Frame ID,Marker ID,Top Left,Top Right,Bottom Right,Bottom Left
443,5,"(367.0, 206.0)","(385.0, 206.0)","(385.0, 225.0)","(366.0, 224.0)"
443,2,"(884.0, 35.0)","(938.0, 12.0)","(934.0, 99.0)","(880.0, 114.0)"
444,5,"(369.0, 232.0)","(389.0, 231.0)","(390.0, 249.0)","(370.0, 250.0)"
444,2,"(918.0, 36.0)","(978.0, 11.0)","(979.0, 101.0)","(917.0, 119.0)"
445,4,"(239.0, 300.0)","(250.0, 301.0)","(250.0, 311.0)","(239.0, 311.0)"
445,5,"(367.0, 222.0)","(386.0, 221.0)","(388.0, 240.0)","(369.0, 241.0)"
446,5,"(387.0, 226.0)","(405.0, 225.0)","(408.0, 244.0)","(389.0, 246.0)"
448,5,"(445.0, 184.0)","(465.0, 183.0)","(466.0, 203.0)","(447.0, 204.0)"
449,5,"(496.0, 169.0)","(516.0, 169.0)","(517.0, 190.0)","(496.0, 190.0)"
450,5,"(510.0, 169.0)","(532.0, 167.0)","(533.0, 188.0)","(512.0, 189.0)"
451,5,"(539.0, 162.0)","(561.0, 161.0)","(562.0, 182.0)","(540.0, 183.0)"
452,5,"(557.0, 161.0)","(579.0, 160.0)","(580.0, 181.0)","(558.0, 183.0)"
453,5,"(559.0, 144.0)","(580.0, 143.0)","(582.0, 165.0)","(560.0, 167.0)"
455,4,"(440.0, 235.0)","(451.0, 235.0)","(452.0, 246.0)","(441.0, 247.0)"
455,5,"(578.0, 133.0)","(601.0, 131.0)","(603.0, 154.0)","(579.0, 157.0)"
456,4,"(448.0, 234.0)","(459.0, 234.0)","(459.0, 246.0)","(448.0, 246.0)"
456,5,"(587.0, 128.0)","(612.0, 125.0)","(613.0, 150.0)","(589.0, 152.0)"
457,5,"(597.0, 134.0)","(622.0, 131.0)","(624.0, 156.0)","(599.0, 158.0)"
458,7,"(433.0, 288.0)","(433.0, 278.0)","(442.0, 278.0)","(442.0, 289.0)"
458,5,"(660.0, 131.0)","(687.0, 129.0)","(688.0, 154.0)","(661.0, 157.0)"
459,4,"(528.0, 236.0)","(540.0, 237.0)","(539.0, 249.0)","(527.0, 248.0)"
459,5,"(684.0, 122.0)","(712.0, 120.0)","(713.0, 147.0)","(685.0, 149.0)"
460,4,"(547.0, 239.0)","(559.0, 239.0)","(559.0, 251.0)","(547.0, 251.0)"
460,5,"(707.0, 118.0)","(735.0, 115.0)","(737.0, 143.0)","(709.0, 146.0)"
461,5,"(717.0, 116.0)","(747.0, 114.0)","(747.0, 143.0)","(719.0, 145.0)"
461,7,"(476.0, 293.0)","(476.0, 283.0)","(486.0, 283.0)","(486.0, 294.0)"
462,5,"(733.0, 87.0)","(763.0, 84.0)","(763.0, 115.0)","(732.0, 117.0)"
463,5,"(729.0, 91.0)","(761.0, 89.0)","(761.0, 120.0)","(729.0, 123.0)"
464,7,"(466.0, 276.0)","(466.0, 265.0)","(476.0, 265.0)","(476.0, 276.0)"
464,4,"(546.0, 221.0)","(559.0, 222.0)","(559.0, 234.0)","(546.0, 234.0)"
464,5,"(724.0, 82.0)","(757.0, 79.0)","(758.0, 111.0)","(726.0, 114.0)"
465,4,"(545.0, 227.0)","(558.0, 225.0)","(559.0, 238.0)","(546.0, 239.0)"
465,7,"(465.0, 283.0)","(465.0, 272.0)","(475.0, 271.0)","(476.0, 282.0)"
465,5,"(728.0, 75.0)","(761.0, 72.0)","(763.0, 105.0)","(730.0, 109.0)"
466,7,"(444.0, 297.0)","(444.0, 286.0)","(454.0, 285.0)","(455.0, 297.0)"
466,4,"(526.0, 240.0)","(539.0, 240.0)","(539.0, 253.0)","(526.0, 254.0)"
466,5,"(714.0, 85.0)","(748.0, 82.0)","(749.0, 117.0)","(716.0, 120.0)"
